default_constraint_rankings
--------------------------------------------------
ranking	suffix	prefix	infix	nonconcat_cv	nonconcat_unattested
contiguity >> align_left_residue >> align_left_root >> align_right_residue >> align_right_root >> c_adj_v	0	10	0	0	0
contiguity >> align_left_residue >> align_right_root >> c_adj_v >> align_left_root >> align_right_residue	0	10	0	0	0
contiguity >> align_left_residue >> align_right_root >> c_adj_v >> align_right_residue >> align_left_root	0	10	0	0	0
contiguity >> align_left_residue >> align_right_root >> align_left_root >> c_adj_v >> align_right_residue	0	10	0	0	0
contiguity >> align_left_residue >> align_right_root >> align_left_root >> align_right_residue >> c_adj_v	0	10	0	0	0
contiguity >> align_left_residue >> align_right_root >> align_right_residue >> c_adj_v >> align_left_root	0	10	0	0	0
contiguity >> align_left_residue >> align_right_root >> align_right_residue >> align_left_root >> c_adj_v	0	10	0	0	0
contiguity >> align_left_residue >> align_right_residue >> c_adj_v >> align_left_root >> align_right_root	0	10	0	0	0
contiguity >> align_left_residue >> align_right_residue >> c_adj_v >> align_right_root >> align_left_root	0	10	0	0	0
contiguity >> align_left_residue >> align_right_residue >> align_left_root >> c_adj_v >> align_right_root	0	10	0	0	0
contiguity >> align_left_residue >> align_right_residue >> align_left_root >> align_right_root >> c_adj_v	0	10	0	0	0
contiguity >> align_left_residue >> align_right_residue >> align_right_root >> c_adj_v >> align_left_root	0	10	0	0	0
contiguity >> align_left_residue >> align_right_residue >> align_right_root >> align_left_root >> c_adj_v	0	10	0	0	0
contiguity >> align_right_root >> c_adj_v >> align_left_root >> align_left_residue >> align_right_residue	0	10	0	0	0
contiguity >> align_right_root >> c_adj_v >> align_left_root >> align_right_residue >> align_left_residue	0	10	0	0	0
contiguity >> align_right_root >> c_adj_v >> align_left_residue >> align_left_root >> align_right_residue	0	10	0	0	0
contiguity >> align_right_root >> c_adj_v >> align_left_residue >> align_right_residue >> align_left_root	0	10	0	0	0
contiguity >> align_right_root >> c_adj_v >> align_right_residue >> align_left_root >> align_left_residue	0	10	0	0	0
contiguity >> align_right_root >> c_adj_v >> align_right_residue >> align_left_residue >> align_left_root	0	10	0	0	0
