id	item_abstract	item_ortho	audio	item_type	bigram	is_training_word	is_training_root	is_training_residue	root_frequency	residue_frequency	root_extractability	residue_extractability	template	variation
pabdo_train	pabdo	peelmei	peelmei.wav	train	4	1	1	1	4	4	1	1	rsrsr	c8
dukti_train	dukti	mahtsai	mahtsai.wav	train	4	1	1	1	4	1	1	1	rsrsr	c8
gutbi_train	gutbi	kahslai	kahslai.wav	train	4	1	1	1	1	4	1	1	rsrsr	c8
detka_train	detka	mohstee	mohstee.wav	train	4	1	1	1	1	1	0	0	rsrsr	c8
buddu_train	buddu	lahmmah	lahmmah.wav	train	4	1	1	1	1	1	0	0	rsrsr	c8
topdy_train	topdy	seipmoo	seipmoo.wav	train	4	1	1	1	1	1	0	0	rsrsr	c8
kapto_train	kapto	teepsei	teepsei.wav	train	8	1	1	1	1	1	0	0	rsrsr	c8
pigpe_train	pigpe	paikpoh	paikpoh.wav	train	4	1	1	1	1	1	0	0	rsrsr	c8
gybgy_train	gybgy	koolkoo	koolkoo.wav	train	8	1	1	1	1	1	0	0	rsrsr	c8
dykba_train	dykba	mootlee	mootlee.wav	train	4	1	1	1	1	1	0	0	rsrsr	c8
botpa_train	botpa	leispee	leispee.wav	train	4	1	1	1	4	1	1	1	rsrsr	c8
bekpi_train	bekpi	lohtpai	lohtpai.wav	train	4	1	1	1	1	4	1	1	rsrsr	c8
kipky_train	kipky	taiptoo	taiptoo.wav	train	4	1	1	1	4	1	1	1	rsrsr	c8
tibgo_train	tibgo	sailkei	sailkei.wav	train	8	1	1	1	1	4	1	1	rsrsr	c8
pydtu_train	pydtu	poomsah	poomsah.wav	train	4	1	1	1	1	4	1	1	rsrsr	c8
gadbu_train	gadbu	keemlah	keemlah.wav	train	4	1	1	1	4	1	1	1	rsrsr	c8
tegge_train	tegge	sohkkoh	sohkkoh.wav	train	4	1	1	1	4	1	1	1	rsrsr	c8
kogke_train	kogke	teiktoh	teiktoh.wav	train	4	1	1	1	1	4	1	1	rsrsr	c8
pubbo_train	pubbo	pahllei	pahllei.wav	train	4	1	1	1	4	4	1	1	rsrsr	c8
dakdi_train	dakdi	meetmai	meetmai.wav	train	4	1	1	1	4	4	1	1	rsrsr	c8
pebpo_train	pebpo	pohlpei	pohlpei.wav	train	4	1	1	1	4	4	1	1	rsrsr	c8
batda_train	batda	leesmee	leesmee.wav	train	4	1	1	1	4	4	1	1	rsrsr	c8
pobko_train	pobko	peiltei	peiltei.wav	train	4	1	1	1	4	4	1	1	rsrsr	c8
tagde_train	tagde	seekmoh	seekmoh.wav	train	4	1	1	1	4	4	1	1	rsrsr	c8
dikgi_train	dikgi	maitkai	maitkai.wav	train	4	1	1	1	4	4	1	1	rsrsr	c8
kupby_train	kupby	tahploo	tahploo.wav	train	4	1	1	1	4	4	1	1	rsrsr	c8
dokki_train	dokki	meittai	meittai.wav	train	4	1	1	1	4	4	1	1	rsrsr	c8
tugbe_train	tugbe	sahkloh	sahkloh.wav	train	4	1	1	1	4	4	1	1	rsrsr	c8
bitga_train	bitga	laiskee	laiskee.wav	train	4	1	1	1	4	4	1	1	rsrsr	c8
keppy_train	keppy	tohppoo	tohppoo.wav	train	4	1	1	1	4	4	1	1	rsrsr	c8
bytta_train	bytta	loossee	loossee.wav	train	4	1	1	1	4	4	1	1	rsrsr	c8
gedpu_train	gedpu	kohmpah	kohmpah.wav	train	4	1	1	1	4	4	1	1	rsrsr	c8
kypty_train	kypty	toopsoo	toopsoo.wav	train	8	1	1	1	4	4	1	1	rsrsr	c8
gidgu_train	gidgu	kaimkah	kaimkah.wav	train	4	1	1	1	4	4	1	1	rsrsr	c8
tygte_train	tygte	sooksoh	sooksoh.wav	train	4	1	1	1	4	4	1	1	rsrsr	c8
godku_train	godku	keimtah	keimtah.wav	train	4	1	1	1	4	4	1	1	rsrsr	c8
pabdo_test	pabdo	peelmei	peelmei.wav	test	4	1	1	1	4	4	1	1	rsrsr	c8
dukti_test	dukti	mahtsai	mahtsai.wav	test	4	1	1	1	4	1	1	1	rsrsr	c8
gutbi_test	gutbi	kahslai	kahslai.wav	test	4	1	1	1	1	4	1	1	rsrsr	c8
detka_test	detka	mohstee	mohstee.wav	test	4	1	1	1	1	1	0	0	rsrsr	c8
betpa_test	betpa	lohspee	lohspee.wav	test	4	0	1	1	4	4	1	1	rsrsr	c8
kapby_test	kapby	teeploo	teeploo.wav	test	4	0	1	1	4	1	1	1	rsrsr	c8
pidgu_test	pidgu	paimkah	paimkah.wav	test	4	0	1	1	1	4	1	1	rsrsr	c8
togde_test	togde	seikmoh	seikmoh.wav	test	4	0	1	1	4	1	1	0	rsrsr	c8
bodku_test	bodku	leimtah	leimtah.wav	test	4	0	1	1	1	4	0	1	rsrsr	c8
gedtu_test	gedtu	kohmsah	kohmsah.wav	test	4	0	1	0	4	0	1	0	rsrsr	c8
pyttu_test	pyttu	poossah	poossah.wav	test	4	0	0	1	0	4	0	1	rsrsr	c8
