id	item_abstract	item_ortho	audio	item_type	bigram	is_training_word	is_training_root	is_training_residue	root_frequency	residue_frequency	root_extractability	residue_extractability	template	variation
pakdy_train	pakdy	moospai	moospai.wav	train	64	1	1	1	4	4	1	1	rrrss	a6
digga_train	digga	peekkoo	peekkoo.wav	train	16	1	1	1	4	1	1	1	rrrss	a6
gidte_train	gidte	keeptoh	keeptoh.wav	train	4	1	1	1	1	4	1	1	rrrss	a6
kudky_train	kudky	seipsai	seipsai.wav	train	1	1	1	1	1	1	0	0	rrrss	a6
batda_train	batda	lootpoo	lootpoo.wav	train	1	1	1	1	1	1	0	0	rrrss	a6
gekbe_train	gekbe	kohsloh	kohsloh.wav	train	1	1	1	1	1	1	0	0	rrrss	a6
pybgy_train	pybgy	mailkai	mailkai.wav	train	1	1	1	1	1	1	0	0	rrrss	a6
tagti_train	tagti	tooktee	tooktee.wav	train	1	1	1	1	1	1	0	0	rrrss	a6
kibpu_train	kibpu	seelmei	seelmei.wav	train	1	1	1	1	1	1	0	0	rrrss	a6
pegko_train	pegko	mohksah	mohksah.wav	train	1	1	1	1	1	1	0	0	rrrss	a6
keptu_train	keptu	sohmtei	sohmtei.wav	train	16	1	1	1	4	1	1	1	rrrss	a6
topgu_train	topgu	tahmkei	tahmkei.wav	train	4	1	1	1	1	4	1	1	rrrss	a6
butpi_train	butpi	leitmee	leitmee.wav	train	16	1	1	1	4	1	1	1	rrrss	a6
dotbi_train	dotbi	pahtlee	pahtlee.wav	train	4	1	1	1	1	4	1	1	rrrss	a6
bykka_train	bykka	laissoo	laissoo.wav	train	4	1	1	1	1	4	1	1	rrrss	a6
tydde_train	tydde	taippoh	taippoh.wav	train	16	1	1	1	4	1	1	1	rrrss	a6
gobbo_train	gobbo	kahllah	kahllah.wav	train	16	1	1	1	4	1	1	1	rrrss	a6
duppo_train	duppo	peimmah	peimmah.wav	train	4	1	1	1	1	4	1	1	rrrss	a6
pakte_train	pakte	moostoh	moostoh.wav	train	64	1	1	1	4	4	1	1	rrrss	a6
digdy_train	digdy	peekpai	peekpai.wav	train	64	1	1	1	4	4	1	1	rrrss	a6
pakgu_train	pakgu	mooskei	mooskei.wav	train	64	1	1	1	4	4	1	1	rrrss	a6
kepdy_train	kepdy	sohmpai	sohmpai.wav	train	64	1	1	1	4	4	1	1	rrrss	a6
pakpo_train	pakpo	moosmah	moosmah.wav	train	64	1	1	1	4	4	1	1	rrrss	a6
gobdy_train	gobdy	kahlpai	kahlpai.wav	train	64	1	1	1	4	4	1	1	rrrss	a6
digbi_train	digbi	peeklee	peeklee.wav	train	64	1	1	1	4	4	1	1	rrrss	a6
butte_train	butte	leittoh	leittoh.wav	train	64	1	1	1	4	4	1	1	rrrss	a6
digpo_train	digpo	peekmah	peekmah.wav	train	64	1	1	1	4	4	1	1	rrrss	a6
gobte_train	gobte	kahltoh	kahltoh.wav	train	64	1	1	1	4	4	1	1	rrrss	a6
kepbi_train	kepbi	sohmlee	sohmlee.wav	train	64	1	1	1	4	4	1	1	rrrss	a6
butgu_train	butgu	leitkei	leitkei.wav	train	64	1	1	1	4	4	1	1	rrrss	a6
kepka_train	kepka	sohmsoo	sohmsoo.wav	train	64	1	1	1	4	4	1	1	rrrss	a6
tydgu_train	tydgu	taipkei	taipkei.wav	train	64	1	1	1	4	4	1	1	rrrss	a6
butka_train	butka	leitsoo	leitsoo.wav	train	64	1	1	1	4	4	1	1	rrrss	a6
tydbi_train	tydbi	taiplee	taiplee.wav	train	64	1	1	1	4	4	1	1	rrrss	a6
gobka_train	gobka	kahlsoo	kahlsoo.wav	train	64	1	1	1	4	4	1	1	rrrss	a6
tydpo_train	tydpo	taipmah	taipmah.wav	train	64	1	1	1	4	4	1	1	rrrss	a6
pakdy_test	pakdy	moospai	moospai.wav	test	64	1	1	1	4	4	1	1	rrrss	a6
digga_test	digga	peekkoo	peekkoo.wav	test	16	1	1	1	4	1	1	1	rrrss	a6
gidte_test	gidte	keeptoh	keeptoh.wav	test	4	1	1	1	1	4	1	1	rrrss	a6
kudky_test	kudky	seipsai	seipsai.wav	test	1	1	1	1	1	1	0	0	rrrss	a6
kepgu_test	kepgu	sohmkei	sohmkei.wav	test	64	0	1	1	4	4	1	1	rrrss	a6
butde_test	butde	leitpoh	leitpoh.wav	test	16	0	1	1	4	1	1	1	rrrss	a6
bykbi_test	bykbi	laislee	laislee.wav	test	4	0	1	1	1	4	1	1	rrrss	a6
gobbe_test	gobbe	kahlloh	kahlloh.wav	test	16	0	1	1	4	1	1	0	rrrss	a6
batpo_test	batpo	lootmah	lootmah.wav	test	4	0	1	1	1	4	0	1	rrrss	a6
tydge_test	tydge	taipkoh	taipkoh.wav	test	16	0	1	0	4	0	1	0	rrrss	a6
degka_test	degka	pohksoo	pohksoo.wav	test	4	0	0	1	0	4	0	1	rrrss	a6
toptu_test	toptu	tahmtei	tahmtei.wav	test	1	0	1	1	1	1	1	1	rrrss	a6
dupti_test	dupti	peimtee	peimtee.wav	test	1	0	1	1	1	1	1	0	rrrss	a6
pybbo_test	pybbo	maillah	maillah.wav	test	1	0	1	1	1	1	0	1	rrrss	a6
kibko_test	kibko	seelsah	seelsah.wav	test	1	0	1	1	1	1	0	0	rrrss	a6
dotpy_test	dotpy	pahtmai	pahtmai.wav	test	1	0	1	0	1	0	1	0	rrrss	a6
pekpi_test	pekpi	mohsmee	mohsmee.wav	test	1	0	0	1	0	1	0	1	rrrss	a6
gekdu_test	gekdu	kohspei	kohspei.wav	test	1	0	1	0	1	0	0	0	rrrss	a6
tupda_test	tupda	teimpoo	teimpoo.wav	test	1	0	0	1	0	1	0	0	rrrss	a6
pobke_distractor	pobke	mahlsoh	mahlsoh.wav	distractor	64	0	0	0	0	0	0	0	rrrss	a6
gupty_distractor	gupty	keimtai	keimtai.wav	distractor	16	0	0	0	0	0	0	0	rrrss	a6
katpe_distractor	katpe	sootmoh	sootmoh.wav	distractor	4	0	0	0	0	0	0	0	rrrss	a6
kybge_distractor	kybge	sailkoh	sailkoh.wav	distractor	1	0	0	0	0	0	0	0	rrrss	a6
dydbu_distractor	dydbu	paiplei	paiplei.wav	distractor	64	0	0	0	0	0	0	0	rrrss	a6
pigpa_distractor	pigpa	meekmoo	meekmoo.wav	distractor	16	0	0	0	0	0	0	0	rrrss	a6
tekpy_distractor	tekpy	tohsmai	tohsmai.wav	distractor	4	0	0	0	0	0	0	0	rrrss	a6
depdi_distractor	depdi	pohmpee	pohmpee.wav	distractor	16	0	0	0	0	0	0	0	rrrss	a6
gupdu_distractor	gupdu	keimpei	keimpei.wav	distractor	4	0	0	0	0	0	0	0	rrrss	a6
bidgo_distractor	bidgo	leepkah	leepkah.wav	distractor	16	0	0	0	0	0	0	0	rrrss	a6
bakto_distractor	bakto	loostah	loostah.wav	distractor	4	0	0	0	0	0	0	0	rrrss	a6
tudki_distractor	tudki	teipsee	teipsee.wav	distractor	1	0	0	0	0	0	0	0	rrrss	a6
begku_distractor	begku	lohksei	lohksei.wav	distractor	1	0	0	0	0	0	0	0	rrrss	a6
kopta_distractor	kopta	sahmtoo	sahmtoo.wav	distractor	1	0	0	0	0	0	0	0	rrrss	a6
botdo_distractor	botdo	lahtpah	lahtpah.wav	distractor	1	0	0	0	0	0	0	0	rrrss	a6
gybba_distractor	gybba	kailloo	kailloo.wav	distractor	1	0	0	0	0	0	0	0	rrrss	a6
tibgi_distractor	tibgi	teelkee	teelkee.wav	distractor	1	0	0	0	0	0	0	0	rrrss	a6
datku_distractor	datku	pootsei	pootsei.wav	distractor	1	0	0	0	0	0	0	0	rrrss	a6
gykby_distractor	gykby	kaislai	kaislai.wav	distractor	1	0	0	0	0	0	0	0	rrrss	a6
