id	item_abstract	item_ortho	audio	item_type	bigram	is_training_word	is_training_root	is_training_residue	root_frequency	residue_frequency	root_extractability	residue_extractability	template	variation
pabdo_train	pabdo	taimkoh	taimkoh.wav	train	4	1	1	1	4	4	1	1	rsrsr	c4
dukti_train	dukti	keilpah	keilpah.wav	train	4	1	1	1	4	1	1	1	rsrsr	c4
gutbi_train	gutbi	seipmah	seipmah.wav	train	4	1	1	1	1	4	1	1	rsrsr	c4
detka_train	detka	kooplai	kooplai.wav	train	4	1	1	1	1	1	0	0	rsrsr	c4
buddu_train	buddu	meikkei	meikkei.wav	train	4	1	1	1	1	1	0	0	rsrsr	c4
topdy_train	topdy	pohtkee	pohtkee.wav	train	4	1	1	1	1	1	0	0	rsrsr	c4
kapto_train	kapto	laitpoh	laitpoh.wav	train	8	1	1	1	1	1	0	0	rsrsr	c4
pigpe_train	pigpe	tahstoo	tahstoo.wav	train	4	1	1	1	1	1	0	0	rsrsr	c4
gybgy_train	gybgy	seemsee	seemsee.wav	train	8	1	1	1	1	1	0	0	rsrsr	c4
dykba_train	dykba	keelmai	keelmai.wav	train	4	1	1	1	1	1	0	0	rsrsr	c4
botpa_train	botpa	mohptai	mohptai.wav	train	4	1	1	1	4	1	1	1	rsrsr	c4
bekpi_train	bekpi	mooltah	mooltah.wav	train	4	1	1	1	1	4	1	1	rsrsr	c4
kipky_train	kipky	lahtlee	lahtlee.wav	train	4	1	1	1	4	1	1	1	rsrsr	c4
tibgo_train	tibgo	pahmsoh	pahmsoh.wav	train	8	1	1	1	1	4	1	1	rsrsr	c4
pydtu_train	pydtu	teekpei	teekpei.wav	train	4	1	1	1	1	4	1	1	rsrsr	c4
gadbu_train	gadbu	saikmei	saikmei.wav	train	4	1	1	1	4	1	1	1	rsrsr	c4
tegge_train	tegge	poossoo	poossoo.wav	train	4	1	1	1	4	1	1	1	rsrsr	c4
kogke_train	kogke	lohsloo	lohsloo.wav	train	4	1	1	1	1	4	1	1	rsrsr	c4
pubbo_train	pubbo	teimmoh	teimmoh.wav	train	4	1	1	1	4	4	1	1	rsrsr	c4
dakdi_train	dakdi	kailkah	kailkah.wav	train	4	1	1	1	4	4	1	1	rsrsr	c4
pebpo_train	pebpo	toomtoh	toomtoh.wav	train	4	1	1	1	4	4	1	1	rsrsr	c4
batda_train	batda	maipkai	maipkai.wav	train	4	1	1	1	4	4	1	1	rsrsr	c4
pobko_train	pobko	tohmloh	tohmloh.wav	train	4	1	1	1	4	4	1	1	rsrsr	c4
tagde_train	tagde	paiskoo	paiskoo.wav	train	4	1	1	1	4	4	1	1	rsrsr	c4
dikgi_train	dikgi	kahlsah	kahlsah.wav	train	4	1	1	1	4	4	1	1	rsrsr	c4
kupby_train	kupby	leitmee	leitmee.wav	train	4	1	1	1	4	4	1	1	rsrsr	c4
dokki_train	dokki	kohllah	kohllah.wav	train	4	1	1	1	4	4	1	1	rsrsr	c4
tugbe_train	tugbe	peismoo	peismoo.wav	train	4	1	1	1	4	4	1	1	rsrsr	c4
bitga_train	bitga	mahpsai	mahpsai.wav	train	4	1	1	1	4	4	1	1	rsrsr	c4
keppy_train	keppy	loottee	loottee.wav	train	4	1	1	1	4	4	1	1	rsrsr	c4
bytta_train	bytta	meeppai	meeppai.wav	train	4	1	1	1	4	4	1	1	rsrsr	c4
gedpu_train	gedpu	sooktei	sooktei.wav	train	4	1	1	1	4	4	1	1	rsrsr	c4
kypty_train	kypty	leetpee	leetpee.wav	train	8	1	1	1	4	4	1	1	rsrsr	c4
gidgu_train	gidgu	sahksei	sahksei.wav	train	4	1	1	1	4	4	1	1	rsrsr	c4
tygte_train	tygte	peespoo	peespoo.wav	train	4	1	1	1	4	4	1	1	rsrsr	c4
godku_train	godku	sohklei	sohklei.wav	train	4	1	1	1	4	4	1	1	rsrsr	c4
pabdo_test	pabdo	taimkoh	taimkoh.wav	test	4	1	1	1	4	4	1	1	rsrsr	c4
dukti_test	dukti	keilpah	keilpah.wav	test	4	1	1	1	4	1	1	1	rsrsr	c4
gutbi_test	gutbi	seipmah	seipmah.wav	test	4	1	1	1	1	4	1	1	rsrsr	c4
detka_test	detka	kooplai	kooplai.wav	test	4	1	1	1	1	1	0	0	rsrsr	c4
betpa_test	betpa	mooptai	mooptai.wav	test	4	0	1	1	4	4	1	1	rsrsr	c4
kapby_test	kapby	laitmee	laitmee.wav	test	4	0	1	1	4	1	1	1	rsrsr	c4
pidgu_test	pidgu	tahksei	tahksei.wav	test	4	0	1	1	1	4	1	1	rsrsr	c4
togde_test	togde	pohskoo	pohskoo.wav	test	4	0	1	1	4	1	1	0	rsrsr	c4
bodku_test	bodku	mohklei	mohklei.wav	test	4	0	1	1	1	4	0	1	rsrsr	c4
gedtu_test	gedtu	sookpei	sookpei.wav	test	4	0	1	0	4	0	1	0	rsrsr	c4
pyttu_test	pyttu	teeppei	teeppei.wav	test	4	0	0	1	0	4	0	1	rsrsr	c4
bokpi_test	bokpi	mohltah	mohltah.wav	test	4	0	1	1	1	1	1	1	rsrsr	c4
kigpe_test	kigpe	lahstoo	lahstoo.wav	test	4	0	1	1	1	1	1	0	rsrsr	c4
kepgo_test	kepgo	lootsoh	lootsoh.wav	test	0	0	1	1	1	1	0	1	rsrsr	c4
