id	item_abstract	item_ortho	audio	item_type	bigram	is_training_word	is_training_root	is_training_residue	root_frequency	residue_frequency	root_extractability	residue_extractability	template	variation
pabdo_train	pabdo	maiplei	maiplei.wav	train	4	1	1	1	4	4	1	1	rsrsr	c2
dukti_train	dukti	lahksee	lahksee.wav	train	4	1	1	1	4	1	1	1	rsrsr	c2
gutbi_train	gutbi	tahspee	tahspee.wav	train	4	1	1	1	1	4	1	1	rsrsr	c2
detka_train	detka	looskai	looskai.wav	train	4	1	1	1	1	1	0	0	rsrsr	c2
buddu_train	buddu	pahllah	pahllah.wav	train	4	1	1	1	1	1	0	0	rsrsr	c2
topdy_train	topdy	seimloh	seimloh.wav	train	4	1	1	1	1	1	0	0	rsrsr	c2
kapto_train	kapto	kaimsei	kaimsei.wav	train	8	1	1	1	1	1	0	0	rsrsr	c2
pigpe_train	pigpe	meetmoo	meetmoo.wav	train	4	1	1	1	1	1	0	0	rsrsr	c2
gybgy_train	gybgy	tohptoh	tohptoh.wav	train	8	1	1	1	1	1	0	0	rsrsr	c2
dykba_train	dykba	lohkpai	lohkpai.wav	train	4	1	1	1	1	1	0	0	rsrsr	c2
botpa_train	botpa	peismai	peismai.wav	train	4	1	1	1	4	1	1	1	rsrsr	c2
bekpi_train	bekpi	pookmee	pookmee.wav	train	4	1	1	1	1	4	1	1	rsrsr	c2
kipky_train	kipky	keemkoh	keemkoh.wav	train	4	1	1	1	4	1	1	1	rsrsr	c2
tibgo_train	tibgo	seeptei	seeptei.wav	train	8	1	1	1	1	4	1	1	rsrsr	c2
pydtu_train	pydtu	mohlsah	mohlsah.wav	train	4	1	1	1	1	4	1	1	rsrsr	c2
gadbu_train	gadbu	tailpah	tailpah.wav	train	4	1	1	1	4	1	1	1	rsrsr	c2
tegge_train	tegge	soottoo	soottoo.wav	train	4	1	1	1	4	1	1	1	rsrsr	c2
kogke_train	kogke	keitkoo	keitkoo.wav	train	4	1	1	1	1	4	1	1	rsrsr	c2
pubbo_train	pubbo	mahppei	mahppei.wav	train	4	1	1	1	4	4	1	1	rsrsr	c2
dakdi_train	dakdi	laiklee	laiklee.wav	train	4	1	1	1	4	4	1	1	rsrsr	c2
pebpo_train	pebpo	moopmei	moopmei.wav	train	4	1	1	1	4	4	1	1	rsrsr	c2
batda_train	batda	paislai	paislai.wav	train	4	1	1	1	4	4	1	1	rsrsr	c2
pobko_train	pobko	meipkei	meipkei.wav	train	4	1	1	1	4	4	1	1	rsrsr	c2
tagde_train	tagde	saitloo	saitloo.wav	train	4	1	1	1	4	4	1	1	rsrsr	c2
dikgi_train	dikgi	leektee	leektee.wav	train	4	1	1	1	4	4	1	1	rsrsr	c2
kupby_train	kupby	kahmpoh	kahmpoh.wav	train	4	1	1	1	4	4	1	1	rsrsr	c2
dokki_train	dokki	leikkee	leikkee.wav	train	4	1	1	1	4	4	1	1	rsrsr	c2
tugbe_train	tugbe	sahtpoo	sahtpoo.wav	train	4	1	1	1	4	4	1	1	rsrsr	c2
bitga_train	bitga	peestai	peestai.wav	train	4	1	1	1	4	4	1	1	rsrsr	c2
keppy_train	keppy	koommoh	koommoh.wav	train	4	1	1	1	4	4	1	1	rsrsr	c2
bytta_train	bytta	pohssai	pohssai.wav	train	4	1	1	1	4	4	1	1	rsrsr	c2
gedpu_train	gedpu	toolmah	toolmah.wav	train	4	1	1	1	4	4	1	1	rsrsr	c2
kypty_train	kypty	kohmsoh	kohmsoh.wav	train	8	1	1	1	4	4	1	1	rsrsr	c2
gidgu_train	gidgu	teeltah	teeltah.wav	train	4	1	1	1	4	4	1	1	rsrsr	c2
tygte_train	tygte	sohtsoo	sohtsoo.wav	train	4	1	1	1	4	4	1	1	rsrsr	c2
godku_train	godku	teilkah	teilkah.wav	train	4	1	1	1	4	4	1	1	rsrsr	c2
pabdo_test	pabdo	maiplei	maiplei.wav	test	4	1	1	1	4	4	1	1	rsrsr	c2
dukti_test	dukti	lahksee	lahksee.wav	test	4	1	1	1	4	1	1	1	rsrsr	c2
gutbi_test	gutbi	tahspee	tahspee.wav	test	4	1	1	1	1	4	1	1	rsrsr	c2
detka_test	detka	looskai	looskai.wav	test	4	1	1	1	1	1	0	0	rsrsr	c2
betpa_test	betpa	poosmai	poosmai.wav	test	4	0	1	1	4	4	1	1	rsrsr	c2
kapby_test	kapby	kaimpoh	kaimpoh.wav	test	4	0	1	1	4	1	1	1	rsrsr	c2
pidgu_test	pidgu	meeltah	meeltah.wav	test	4	0	1	1	1	4	1	1	rsrsr	c2
togde_test	togde	seitloo	seitloo.wav	test	4	0	1	1	4	1	1	0	rsrsr	c2
bodku_test	bodku	peilkah	peilkah.wav	test	4	0	1	1	1	4	0	1	rsrsr	c2
gedtu_test	gedtu	toolsah	toolsah.wav	test	4	0	1	0	4	0	1	0	rsrsr	c2
pyttu_test	pyttu	mohssah	mohssah.wav	test	4	0	0	1	0	4	0	1	rsrsr	c2
bokpi_test	bokpi	peikmee	peikmee.wav	test	4	0	1	1	1	1	1	1	rsrsr	c2
kigpe_test	kigpe	keetmoo	keetmoo.wav	test	4	0	1	1	1	1	1	0	rsrsr	c2
kepgo_test	kepgo	koomtei	koomtei.wav	test	0	0	1	1	1	1	0	1	rsrsr	c2
gybby_test	gybby	tohppoh	tohppoh.wav	test	4	0	1	1	1	1	0	0	rsrsr	c2
tibdo_test	tibdo	seeplei	seeplei.wav	test	4	0	1	0	1	0	1	0	rsrsr	c2
dibky_test	dibky	leepkoh	leepkoh.wav	test	4	0	0	1	0	1	0	1	rsrsr	c2
tupky_test	tupky	sahmkoh	sahmkoh.wav	test	4	0	1	0	1	0	0	0	rsrsr	c2
kugda_test	kugda	kahtlai	kahtlai.wav	test	4	0	0	1	0	1	0	0	rsrsr	c2
gappu_distractor	gappu	taimmah	taimmah.wav	distractor	4	0	0	0	0	0	0	0	rsrsr	c2
buggo_distractor	buggo	pahttei	pahttei.wav	distractor	4	0	0	0	0	0	0	0	rsrsr	c2
tipbi_distractor	tipbi	seempee	seempee.wav	distractor	4	0	0	0	0	0	0	0	rsrsr	c2
kebde_distractor	kebde	kooploo	kooploo.wav	distractor	4	0	0	0	0	0	0	0	rsrsr	c2
tudpu_distractor	tudpu	sahlmah	sahlmah.wav	distractor	4	0	0	0	0	0	0	0	rsrsr	c2
gotga_distractor	gotga	teistai	teistai.wav	distractor	4	0	0	0	0	0	0	0	rsrsr	c2
pobby_distractor	pobby	meippoh	meippoh.wav	distractor	4	0	0	0	0	0	0	0	rsrsr	c2
datko_distractor	datko	laiskei	laiskei.wav	distractor	4	0	0	0	0	0	0	0	rsrsr	c2
depbu_distractor	depbu	loompah	loompah.wav	distractor	4	0	0	0	0	0	0	0	rsrsr	c2
pydpe_distractor	pydpe	mohlmoo	mohlmoo.wav	distractor	4	0	0	0	0	0	0	0	rsrsr	c2
bypdi_distractor	bypdi	pohmlee	pohmlee.wav	distractor	4	0	0	0	0	0	0	0	rsrsr	c2
tikbu_distractor	tikbu	seekpah	seekpah.wav	distractor	4	0	0	0	0	0	0	0	rsrsr	c2
gydky_distractor	gydky	tohlkoh	tohlkoh.wav	distractor	4	0	0	0	0	0	0	0	rsrsr	c2
gibta_distractor	gibta	teepsai	teepsai.wav	distractor	0	0	0	0	0	0	0	0	rsrsr	c2
badge_distractor	badge	pailtoo	pailtoo.wav	distractor	4	0	0	0	0	0	0	0	rsrsr	c2
kaggu_distractor	kaggu	kaittah	kaittah.wav	distractor	4	0	0	0	0	0	0	0	rsrsr	c2
pykdo_distractor	pykdo	mohklei	mohklei.wav	distractor	4	0	0	0	0	0	0	0	rsrsr	c2
dekbu_distractor	dekbu	lookpah	lookpah.wav	distractor	4	0	0	0	0	0	0	0	rsrsr	c2
kotty_distractor	kotty	keissoh	keissoh.wav	distractor	4	0	0	0	0	0	0	0	rsrsr	c2
