id	item_abstract	item_ortho	audio	item_type	bigram	is_training_word	is_training_root	is_training_residue	root_frequency	residue_frequency	root_extractability	residue_extractability	template	variation
pakdy_train	pakdy	seetpei	seetpei.wav	train	64	1	1	1	4	4	1	1	rrrss	a2
digga_train	digga	pohllee	pohllee.wav	train	16	1	1	1	4	1	1	1	rrrss	a2
gidte_train	gidte	lohpkoo	lohpkoo.wav	train	4	1	1	1	1	4	1	1	rrrss	a2
kudky_train	kudky	tahptei	tahptei.wav	train	1	1	1	1	1	1	0	0	rrrss	a2
batda_train	batda	meekpee	meekpee.wav	train	1	1	1	1	1	1	0	0	rrrss	a2
gekbe_train	gekbe	lootmoo	lootmoo.wav	train	1	1	1	1	1	1	0	0	rrrss	a2
pybgy_train	pybgy	seimlei	seimlei.wav	train	1	1	1	1	1	1	0	0	rrrss	a2
tagti_train	tagti	keelkoh	keelkoh.wav	train	1	1	1	1	1	1	0	0	rrrss	a2
kibpu_train	kibpu	tohmsah	tohmsah.wav	train	1	1	1	1	1	1	0	0	rrrss	a2
pegko_train	pegko	sooltai	sooltai.wav	train	1	1	1	1	1	1	0	0	rrrss	a2
keptu_train	keptu	tooskah	tooskah.wav	train	16	1	1	1	4	1	1	1	rrrss	a2
topgu_train	topgu	kaislah	kaislah.wav	train	4	1	1	1	1	4	1	1	rrrss	a2
butpi_train	butpi	mahksoh	mahksoh.wav	train	16	1	1	1	4	1	1	1	rrrss	a2
dotbi_train	dotbi	paikmoh	paikmoh.wav	train	4	1	1	1	1	4	1	1	rrrss	a2
bykka_train	bykka	meittee	meittee.wav	train	4	1	1	1	1	4	1	1	rrrss	a2
tydde_train	tydde	keippoo	keippoo.wav	train	16	1	1	1	4	1	1	1	rrrss	a2
gobbo_train	gobbo	laimmai	laimmai.wav	train	16	1	1	1	4	1	1	1	rrrss	a2
duppo_train	duppo	pahssai	pahssai.wav	train	4	1	1	1	1	4	1	1	rrrss	a2
pakte_train	pakte	seetkoo	seetkoo.wav	train	64	1	1	1	4	4	1	1	rrrss	a2
digdy_train	digdy	pohlpei	pohlpei.wav	train	64	1	1	1	4	4	1	1	rrrss	a2
pakgu_train	pakgu	seetlah	seetlah.wav	train	64	1	1	1	4	4	1	1	rrrss	a2
kepdy_train	kepdy	toospei	toospei.wav	train	64	1	1	1	4	4	1	1	rrrss	a2
pakpo_train	pakpo	seetsai	seetsai.wav	train	64	1	1	1	4	4	1	1	rrrss	a2
gobdy_train	gobdy	laimpei	laimpei.wav	train	64	1	1	1	4	4	1	1	rrrss	a2
digbi_train	digbi	pohlmoh	pohlmoh.wav	train	64	1	1	1	4	4	1	1	rrrss	a2
butte_train	butte	mahkkoo	mahkkoo.wav	train	64	1	1	1	4	4	1	1	rrrss	a2
digpo_train	digpo	pohlsai	pohlsai.wav	train	64	1	1	1	4	4	1	1	rrrss	a2
gobte_train	gobte	laimkoo	laimkoo.wav	train	64	1	1	1	4	4	1	1	rrrss	a2
