id	item_abstract	item_ortho	audio	item_type	bigram	is_training_word	is_training_root	is_training_residue	root_frequency	residue_frequency	root_extractability	residue_extractability	template	variation
pakdy_train	pakdy	leeskei	leeskei.wav	train	64	1	1	1	4	4	1	1	rrrss	a4
digga_train	digga	kaittee	kaittee.wav	train	16	1	1	1	4	1	1	1	rrrss	a4
gidte_train	gidte	taikpoh	taikpoh.wav	train	4	1	1	1	1	4	1	1	rrrss	a4
kudky_train	kudky	sooksei	sooksei.wav	train	1	1	1	1	1	1	0	0	rrrss	a4
batda_train	batda	meepkee	meepkee.wav	train	1	1	1	1	1	1	0	0	rrrss	a4
gekbe_train	gekbe	tohsmoh	tohsmoh.wav	train	1	1	1	1	1	1	0	0	rrrss	a4
pybgy_train	pybgy	leimtei	leimtei.wav	train	1	1	1	1	1	1	0	0	rrrss	a4
tagti_train	tagti	peetpai	peetpai.wav	train	1	1	1	1	1	1	0	0	rrrss	a4
kibpu_train	kibpu	saimloo	saimloo.wav	train	1	1	1	1	1	1	0	0	rrrss	a4
pegko_train	pegko	lohtsah	lohtsah.wav	train	1	1	1	1	1	1	0	0	rrrss	a4
keptu_train	keptu	sohlpoo	sohlpoo.wav	train	16	1	1	1	4	1	1	1	rrrss	a4
topgu_train	topgu	pahltoo	pahltoo.wav	train	4	1	1	1	1	4	1	1	rrrss	a4
butpi_train	butpi	mooplai	mooplai.wav	train	16	1	1	1	4	1	1	1	rrrss	a4
dotbi_train	dotbi	kahpmai	kahpmai.wav	train	4	1	1	1	1	4	1	1	rrrss	a4
bykka_train	bykka	meissee	meissee.wav	train	4	1	1	1	1	4	1	1	rrrss	a4
tydde_train	tydde	peikkoh	peikkoh.wav	train	16	1	1	1	4	1	1	1	rrrss	a4
gobbo_train	gobbo	tahmmah	tahmmah.wav	train	16	1	1	1	4	1	1	1	rrrss	a4
duppo_train	duppo	koollah	koollah.wav	train	4	1	1	1	1	4	1	1	rrrss	a4
pakte_train	pakte	leespoh	leespoh.wav	train	64	1	1	1	4	4	1	1	rrrss	a4
digdy_train	digdy	kaitkei	kaitkei.wav	train	64	1	1	1	4	4	1	1	rrrss	a4
pakgu_train	pakgu	leestoo	leestoo.wav	train	64	1	1	1	4	4	1	1	rrrss	a4
kepdy_train	kepdy	sohlkei	sohlkei.wav	train	64	1	1	1	4	4	1	1	rrrss	a4
pakpo_train	pakpo	leeslah	leeslah.wav	train	64	1	1	1	4	4	1	1	rrrss	a4
gobdy_train	gobdy	tahmkei	tahmkei.wav	train	64	1	1	1	4	4	1	1	rrrss	a4
digbi_train	digbi	kaitmai	kaitmai.wav	train	64	1	1	1	4	4	1	1	rrrss	a4
butte_train	butte	mooppoh	mooppoh.wav	train	64	1	1	1	4	4	1	1	rrrss	a4
digpo_train	digpo	kaitlah	kaitlah.wav	train	64	1	1	1	4	4	1	1	rrrss	a4
gobte_train	gobte	tahmpoh	tahmpoh.wav	train	64	1	1	1	4	4	1	1	rrrss	a4
kepbi_train	kepbi	sohlmai	sohlmai.wav	train	64	1	1	1	4	4	1	1	rrrss	a4
butgu_train	butgu	mooptoo	mooptoo.wav	train	64	1	1	1	4	4	1	1	rrrss	a4
kepka_train	kepka	sohlsee	sohlsee.wav	train	64	1	1	1	4	4	1	1	rrrss	a4
tydgu_train	tydgu	peiktoo	peiktoo.wav	train	64	1	1	1	4	4	1	1	rrrss	a4
butka_train	butka	moopsee	moopsee.wav	train	64	1	1	1	4	4	1	1	rrrss	a4
tydbi_train	tydbi	peikmai	peikmai.wav	train	64	1	1	1	4	4	1	1	rrrss	a4
gobka_train	gobka	tahmsee	tahmsee.wav	train	64	1	1	1	4	4	1	1	rrrss	a4
tydpo_train	tydpo	peiklah	peiklah.wav	train	64	1	1	1	4	4	1	1	rrrss	a4
pakdy_test	pakdy	leeskei	leeskei.wav	test	64	1	1	1	4	4	1	1	rrrss	a4
digga_test	digga	kaittee	kaittee.wav	test	16	1	1	1	4	1	1	1	rrrss	a4
gidte_test	gidte	taikpoh	taikpoh.wav	test	4	1	1	1	1	4	1	1	rrrss	a4
kudky_test	kudky	sooksei	sooksei.wav	test	1	1	1	1	1	1	0	0	rrrss	a4
kepgu_test	kepgu	sohltoo	sohltoo.wav	test	64	0	1	1	4	4	1	1	rrrss	a4
butde_test	butde	moopkoh	moopkoh.wav	test	16	0	1	1	4	1	1	1	rrrss	a4
bykbi_test	bykbi	meismai	meismai.wav	test	4	0	1	1	1	4	1	1	rrrss	a4
gobbe_test	gobbe	tahmmoh	tahmmoh.wav	test	16	0	1	1	4	1	1	0	rrrss	a4
batpo_test	batpo	meeplah	meeplah.wav	test	4	0	1	1	1	4	0	1	rrrss	a4
tydge_test	tydge	peiktoh	peiktoh.wav	test	16	0	1	0	4	0	1	0	rrrss	a4
degka_test	degka	kohtsee	kohtsee.wav	test	4	0	0	1	0	4	0	1	rrrss	a4
toptu_test	toptu	pahlpoo	pahlpoo.wav	test	1	0	1	1	1	1	1	1	rrrss	a4
dupti_test	dupti	koolpai	koolpai.wav	test	1	0	1	1	1	1	1	0	rrrss	a4
pybbo_test	pybbo	leimmah	leimmah.wav	test	1	0	1	1	1	1	0	1	rrrss	a4
kibko_test	kibko	saimsah	saimsah.wav	test	1	0	1	1	1	1	0	0	rrrss	a4
dotpy_test	dotpy	kahplei	kahplei.wav	test	1	0	1	0	1	0	1	0	rrrss	a4
pekpi_test	pekpi	lohslai	lohslai.wav	test	1	0	0	1	0	1	0	1	rrrss	a4
gekdu_test	gekdu	tohskoo	tohskoo.wav	test	1	0	1	0	1	0	0	0	rrrss	a4
tupda_test	tupda	poolkee	poolkee.wav	test	1	0	0	1	0	1	0	0	rrrss	a4
pobke_distractor	pobke	lahmsoh	lahmsoh.wav	distractor	64	0	0	0	0	0	0	0	rrrss	a4
gupty_distractor	gupty	toolpei	toolpei.wav	distractor	16	0	0	0	0	0	0	0	rrrss	a4
katpe_distractor	katpe	seeploh	seeploh.wav	distractor	4	0	0	0	0	0	0	0	rrrss	a4
kybge_distractor	kybge	seimtoh	seimtoh.wav	distractor	1	0	0	0	0	0	0	0	rrrss	a4
dydbu_distractor	dydbu	keikmoo	keikmoo.wav	distractor	64	0	0	0	0	0	0	0	rrrss	a4
pigpa_distractor	pigpa	laitlee	laitlee.wav	distractor	16	0	0	0	0	0	0	0	rrrss	a4
tekpy_distractor	tekpy	pohslei	pohslei.wav	distractor	4	0	0	0	0	0	0	0	rrrss	a4
depdi_distractor	depdi	kohlkai	kohlkai.wav	distractor	16	0	0	0	0	0	0	0	rrrss	a4
gupdu_distractor	gupdu	toolkoo	toolkoo.wav	distractor	4	0	0	0	0	0	0	0	rrrss	a4
bidgo_distractor	bidgo	maiktah	maiktah.wav	distractor	16	0	0	0	0	0	0	0	rrrss	a4
