id	item_abstract	item_ortho	audio	item_type	bigram	is_training_word	is_training_root	is_training_residue	root_frequency	residue_frequency	root_extractability	residue_extractability	template	variation
pabdo_train	pabdo	soolmee	soolmee.wav	train	4	1	1	1	4	4	1	1	rsrsr	c5
dukti_train	dukti	mahpkoh	mahpkoh.wav	train	4	1	1	1	4	1	1	1	rsrsr	c5
gutbi_train	gutbi	tahkloh	tahkloh.wav	train	4	1	1	1	1	4	1	1	rsrsr	c5
detka_train	detka	maikpoo	maikpoo.wav	train	4	1	1	1	1	1	0	0	rsrsr	c5
buddu_train	buddu	lahmmah	lahmmah.wav	train	4	1	1	1	1	1	0	0	rsrsr	c5
topdy_train	topdy	keesmei	keesmei.wav	train	4	1	1	1	1	1	0	0	rsrsr	c5
kapto_train	kapto	pooskee	pooskee.wav	train	8	1	1	1	1	1	0	0	rsrsr	c5
pigpe_train	pigpe	sohtsai	sohtsai.wav	train	4	1	1	1	1	1	0	0	rsrsr	c5
gybgy_train	gybgy	teiltei	teiltei.wav	train	8	1	1	1	1	1	0	0	rsrsr	c5
dykba_train	dykba	meiploo	meiploo.wav	train	4	1	1	1	1	1	0	0	rsrsr	c5
botpa_train	botpa	leeksoo	leeksoo.wav	train	4	1	1	1	4	1	1	1	rsrsr	c5
bekpi_train	bekpi	laipsoh	laipsoh.wav	train	4	1	1	1	1	4	1	1	rsrsr	c5
kipky_train	kipky	pohspei	pohspei.wav	train	4	1	1	1	4	1	1	1	rsrsr	c5
tibgo_train	tibgo	kohltee	kohltee.wav	train	8	1	1	1	1	4	1	1	rsrsr	c5
pydtu_train	pydtu	seimkah	seimkah.wav	train	4	1	1	1	1	4	1	1	rsrsr	c5
gadbu_train	gadbu	toomlah	toomlah.wav	train	4	1	1	1	4	1	1	1	rsrsr	c5
tegge_train	tegge	kaittai	kaittai.wav	train	4	1	1	1	4	1	1	1	rsrsr	c5
kogke_train	kogke	peetpai	peetpai.wav	train	4	1	1	1	1	4	1	1	rsrsr	c5
pubbo_train	pubbo	sahllee	sahllee.wav	train	4	1	1	1	4	4	1	1	rsrsr	c5
dakdi_train	dakdi	moopmoh	moopmoh.wav	train	4	1	1	1	4	4	1	1	rsrsr	c5
pebpo_train	pebpo	sailsee	sailsee.wav	train	4	1	1	1	4	4	1	1	rsrsr	c5
batda_train	batda	lookmoo	lookmoo.wav	train	4	1	1	1	4	4	1	1	rsrsr	c5
pobko_train	pobko	seelpee	seelpee.wav	train	4	1	1	1	4	4	1	1	rsrsr	c5
tagde_train	tagde	kootmai	kootmai.wav	train	4	1	1	1	4	4	1	1	rsrsr	c5
dikgi_train	dikgi	mohptoh	mohptoh.wav	train	4	1	1	1	4	4	1	1	rsrsr	c5
kupby_train	kupby	pahslei	pahslei.wav	train	4	1	1	1	4	4	1	1	rsrsr	c5
dokki_train	dokki	meeppoh	meeppoh.wav	train	4	1	1	1	4	4	1	1	rsrsr	c5
tugbe_train	tugbe	kahtlai	kahtlai.wav	train	4	1	1	1	4	4	1	1	rsrsr	c5
bitga_train	bitga	lohktoo	lohktoo.wav	train	4	1	1	1	4	4	1	1	rsrsr	c5
keppy_train	keppy	paissei	paissei.wav	train	4	1	1	1	4	4	1	1	rsrsr	c5
bytta_train	bytta	leikkoo	leikkoo.wav	train	4	1	1	1	4	4	1	1	rsrsr	c5
gedpu_train	gedpu	taimsah	taimsah.wav	train	4	1	1	1	4	4	1	1	rsrsr	c5
kypty_train	kypty	peiskei	peiskei.wav	train	8	1	1	1	4	4	1	1	rsrsr	c5
gidgu_train	gidgu	tohmtah	tohmtah.wav	train	4	1	1	1	4	4	1	1	rsrsr	c5
tygte_train	tygte	keitkai	keitkai.wav	train	4	1	1	1	4	4	1	1	rsrsr	c5
godku_train	godku	teempah	teempah.wav	train	4	1	1	1	4	4	1	1	rsrsr	c5
pabdo_test	pabdo	soolmee	soolmee.wav	test	4	1	1	1	4	4	1	1	rsrsr	c5
dukti_test	dukti	mahpkoh	mahpkoh.wav	test	4	1	1	1	4	1	1	1	rsrsr	c5
gutbi_test	gutbi	tahkloh	tahkloh.wav	test	4	1	1	1	1	4	1	1	rsrsr	c5
