id	item_abstract	item_ortho	audio	item_type	bigram	is_training_word	is_training_root	is_training_residue	root_frequency	residue_frequency	root_extractability	residue_extractability	template	variation
pabdo_train	pabdo	lahmpoh	lahmpoh.wav	train	4	1	1	1	4	4	1	1	rsrsr	c7
dukti_train	dukti	paistee	paistee.wav	train	4	1	1	1	4	1	1	1	rsrsr	c7
gutbi_train	gutbi	kaitmee	kaitmee.wav	train	4	1	1	1	1	4	1	1	rsrsr	c7
detka_train	detka	peitsah	peitsah.wav	train	4	1	1	1	1	1	0	0	rsrsr	c7
buddu_train	buddu	maippai	maippai.wav	train	4	1	1	1	1	1	0	0	rsrsr	c7
topdy_train	topdy	tohlpoo	tohlpoo.wav	train	4	1	1	1	1	1	0	0	rsrsr	c7
kapto_train	kapto	sahltoh	sahltoh.wav	train	8	1	1	1	1	1	0	0	rsrsr	c7
pigpe_train	pigpe	leeklei	leeklei.wav	train	4	1	1	1	1	1	0	0	rsrsr	c7
gybgy_train	gybgy	koomkoo	koomkoo.wav	train	8	1	1	1	1	1	0	0	rsrsr	c7
dykba_train	dykba	poosmah	poosmah.wav	train	4	1	1	1	1	1	0	0	rsrsr	c7
botpa_train	botpa	mohtlah	mohtlah.wav	train	4	1	1	1	4	1	1	1	rsrsr	c7
bekpi_train	bekpi	meislee	meislee.wav	train	4	1	1	1	1	4	1	1	rsrsr	c7
kipky_train	kipky	seelsoo	seelsoo.wav	train	4	1	1	1	4	1	1	1	rsrsr	c7
tibgo_train	tibgo	teemkoh	teemkoh.wav	train	8	1	1	1	1	4	1	1	rsrsr	c7
pydtu_train	pydtu	looptai	looptai.wav	train	4	1	1	1	1	4	1	1	rsrsr	c7
gadbu_train	gadbu	kahpmai	kahpmai.wav	train	4	1	1	1	4	1	1	1	rsrsr	c7
tegge_train	tegge	teikkei	teikkei.wav	train	4	1	1	1	4	1	1	1	rsrsr	c7
kogke_train	kogke	sohksei	sohksei.wav	train	4	1	1	1	1	4	1	1	rsrsr	c7
