id	item_abstract	item_ortho	audio	item_type	bigram	is_training_word	is_training_root	is_training_residue	root_frequency	residue_frequency	root_extractability	residue_extractability	template	variation
pakdy_train	pakdy	loospoh	loospoh.wav	train	64	1	1	1	4	4	1	1	rrrss	a5
digga_train	digga	peittoo	peittoo.wav	train	16	1	1	1	4	1	1	1	rrrss	a5
gidte_train	gidte	teipkah	teipkah.wav	train	4	1	1	1	1	4	1	1	rrrss	a5
kudky_train	kudky	seepsoh	seepsoh.wav	train	1	1	1	1	1	1	0	0	rrrss	a5
batda_train	batda	mookpoo	mookpoo.wav	train	1	1	1	1	1	1	0	0	rrrss	a5
gekbe_train	gekbe	tahsmah	tahsmah.wav	train	1	1	1	1	1	1	0	0	rrrss	a5
pybgy_train	pybgy	lohmtoh	lohmtoh.wav	train	1	1	1	1	1	1	0	0	rrrss	a5
tagti_train	tagti	kootkei	kootkei.wav	train	1	1	1	1	1	1	0	0	rrrss	a5
kibpu_train	kibpu	seimlee	seimlee.wav	train	1	1	1	1	1	1	0	0	rrrss	a5
pegko_train	pegko	lahtsai	lahtsai.wav	train	1	1	1	1	1	1	0	0	rrrss	a5
keptu_train	keptu	sahlkee	sahlkee.wav	train	16	1	1	1	4	1	1	1	rrrss	a5
topgu_train	topgu	kailtee	kailtee.wav	train	4	1	1	1	1	4	1	1	rrrss	a5
butpi_train	butpi	meeklei	meeklei.wav	train	16	1	1	1	4	1	1	1	rrrss	a5
dotbi_train	dotbi	paikmei	paikmei.wav	train	4	1	1	1	1	4	1	1	rrrss	a5
bykka_train	bykka	mohssoo	mohssoo.wav	train	4	1	1	1	1	4	1	1	rrrss	a5
tydde_train	tydde	kohppah	kohppah.wav	train	16	1	1	1	4	1	1	1	rrrss	a5
gobbo_train	gobbo	taimmai	taimmai.wav	train	16	1	1	1	4	1	1	1	rrrss	a5
duppo_train	duppo	peellai	peellai.wav	train	4	1	1	1	1	4	1	1	rrrss	a5
pakte_train	pakte	looskah	looskah.wav	train	64	1	1	1	4	4	1	1	rrrss	a5
digdy_train	digdy	peitpoh	peitpoh.wav	train	64	1	1	1	4	4	1	1	rrrss	a5
pakgu_train	pakgu	loostee	loostee.wav	train	64	1	1	1	4	4	1	1	rrrss	a5
kepdy_train	kepdy	sahlpoh	sahlpoh.wav	train	64	1	1	1	4	4	1	1	rrrss	a5
pakpo_train	pakpo	looslai	looslai.wav	train	64	1	1	1	4	4	1	1	rrrss	a5
