id	item_abstract	item_ortho	audio	item_type	bigram	is_training_word	is_training_root	is_training_residue	root_frequency	residue_frequency	root_extractability	residue_extractability	template	variation
pabdo_train	pabdo	seilmoh	seilmoh.wav	train	4	1	1	1	4	4	1	1	rsrsr	c6
dukti_train	dukti	maiptee	maiptee.wav	train	4	1	1	1	4	1	1	1	rsrsr	c6
gutbi_train	gutbi	kaitlee	kaitlee.wav	train	4	1	1	1	1	4	1	1	rsrsr	c6
detka_train	detka	mahtpei	mahtpei.wav	train	4	1	1	1	1	1	0	0	rsrsr	c6
buddu_train	buddu	laimmai	laimmai.wav	train	4	1	1	1	1	1	0	0	rsrsr	c6
topdy_train	topdy	tohsmoo	tohsmoo.wav	train	4	1	1	1	1	1	0	0	rsrsr	c6
kapto_train	kapto	peistoh	peistoh.wav	train	8	1	1	1	1	1	0	0	rsrsr	c6
pigpe_train	pigpe	seeksah	seeksah.wav	train	4	1	1	1	1	1	0	0	rsrsr	c6
gybgy_train	gybgy	koolkoo	koolkoo.wav	train	8	1	1	1	1	1	0	0	rsrsr	c6
dykba_train	dykba	mooplei	mooplei.wav	train	4	1	1	1	1	1	0	0	rsrsr	c6
botpa_train	botpa	lohtsei	lohtsei.wav	train	4	1	1	1	4	1	1	1	rsrsr	c6
bekpi_train	bekpi	lahpsee	lahpsee.wav	train	4	1	1	1	1	4	1	1	rsrsr	c6
kipky_train	kipky	peespoo	peespoo.wav	train	4	1	1	1	4	1	1	1	rsrsr	c6
tibgo_train	tibgo	teelkoh	teelkoh.wav	train	8	1	1	1	1	4	1	1	rsrsr	c6
pydtu_train	pydtu	soomtai	soomtai.wav	train	4	1	1	1	1	4	1	1	rsrsr	c6
gadbu_train	gadbu	keimlai	keimlai.wav	train	4	1	1	1	4	1	1	1	rsrsr	c6
tegge_train	tegge	tahkkah	tahkkah.wav	train	4	1	1	1	4	1	1	1	rsrsr	c6
kogke_train	kogke	pohkpah	pohkpah.wav	train	4	1	1	1	1	4	1	1	rsrsr	c6
pubbo_train	pubbo	sailloh	sailloh.wav	train	4	1	1	1	4	4	1	1	rsrsr	c6
dakdi_train	dakdi	meipmee	meipmee.wav	train	4	1	1	1	4	4	1	1	rsrsr	c6
pebpo_train	pebpo	sahlsoh	sahlsoh.wav	train	4	1	1	1	4	4	1	1	rsrsr	c6
batda_train	batda	leitmei	leitmei.wav	train	4	1	1	1	4	4	1	1	rsrsr	c6
pobko_train	pobko	sohlpoh	sohlpoh.wav	train	4	1	1	1	4	4	1	1	rsrsr	c6
tagde_train	tagde	teikmah	teikmah.wav	train	4	1	1	1	4	4	1	1	rsrsr	c6
dikgi_train	dikgi	meepkee	meepkee.wav	train	4	1	1	1	4	4	1	1	rsrsr	c6
kupby_train	kupby	paisloo	paisloo.wav	train	4	1	1	1	4	4	1	1	rsrsr	c6
dokki_train	dokki	mohppee	mohppee.wav	train	4	1	1	1	4	4	1	1	rsrsr	c6
tugbe_train	tugbe	taiklah	taiklah.wav	train	4	1	1	1	4	4	1	1	rsrsr	c6
bitga_train	bitga	leetkei	leetkei.wav	train	4	1	1	1	4	4	1	1	rsrsr	c6
keppy_train	keppy	pahssoo	pahssoo.wav	train	4	1	1	1	4	4	1	1	rsrsr	c6
bytta_train	bytta	loottei	loottei.wav	train	4	1	1	1	4	4	1	1	rsrsr	c6
gedpu_train	gedpu	kahmsai	kahmsai.wav	train	4	1	1	1	4	4	1	1	rsrsr	c6
kypty_train	kypty	poostoo	poostoo.wav	train	8	1	1	1	4	4	1	1	rsrsr	c6
gidgu_train	gidgu	keemkai	keemkai.wav	train	4	1	1	1	4	4	1	1	rsrsr	c6
tygte_train	tygte	tooktah	tooktah.wav	train	4	1	1	1	4	4	1	1	rsrsr	c6
godku_train	godku	kohmpai	kohmpai.wav	train	4	1	1	1	4	4	1	1	rsrsr	c6
pabdo_test	pabdo	seilmoh	seilmoh.wav	test	4	1	1	1	4	4	1	1	rsrsr	c6
dukti_test	dukti	maiptee	maiptee.wav	test	4	1	1	1	4	1	1	1	rsrsr	c6
gutbi_test	gutbi	kaitlee	kaitlee.wav	test	4	1	1	1	1	4	1	1	rsrsr	c6
detka_test	detka	mahtpei	mahtpei.wav	test	4	1	1	1	1	1	0	0	rsrsr	c6
betpa_test	betpa	lahtsei	lahtsei.wav	test	4	0	1	1	4	4	1	1	rsrsr	c6
kapby_test	kapby	peisloo	peisloo.wav	test	4	0	1	1	4	1	1	1	rsrsr	c6
pidgu_test	pidgu	seemkai	seemkai.wav	test	4	0	1	1	1	4	1	1	rsrsr	c6
togde_test	togde	tohkmah	tohkmah.wav	test	4	0	1	1	4	1	1	0	rsrsr	c6
bodku_test	bodku	lohmpai	lohmpai.wav	test	4	0	1	1	1	4	0	1	rsrsr	c6
gedtu_test	gedtu	kahmtai	kahmtai.wav	test	4	0	1	0	4	0	1	0	rsrsr	c6
pyttu_test	pyttu	soottai	soottai.wav	test	4	0	0	1	0	4	0	1	rsrsr	c6
bokpi_test	bokpi	lohpsee	lohpsee.wav	test	4	0	1	1	1	1	1	1	rsrsr	c6
kigpe_test	kigpe	peeksah	peeksah.wav	test	4	0	1	1	1	1	1	0	rsrsr	c6
