id	item_abstract	item_ortho	audio	item_type	bigram	is_training_word	is_training_root	is_training_residue	root_frequency	residue_frequency	root_extractability	residue_extractability	template	variation
pakdy_train	pakdy	leistai	leistai.wav	train	64	1	1	1	4	4	1	1	rrrss	a7
digga_train	digga	tookkei	tookkei.wav	train	16	1	1	1	4	1	1	1	rrrss	a7
gidte_train	gidte	kootpee	kootpee.wav	train	4	1	1	1	1	4	1	1	rrrss	a7
kudky_train	kudky	sahtsai	sahtsai.wav	train	1	1	1	1	1	1	0	0	rrrss	a7
batda_train	batda	meiptei	meiptei.wav	train	1	1	1	1	1	1	0	0	rrrss	a7
gekbe_train	gekbe	keesmee	keesmee.wav	train	1	1	1	1	1	1	0	0	rrrss	a7
pybgy_train	pybgy	laimkai	laimkai.wav	train	1	1	1	1	1	1	0	0	rrrss	a7
tagti_train	tagti	peikpoo	peikpoo.wav	train	1	1	1	1	1	1	0	0	rrrss	a7
kibpu_train	kibpu	soomlah	soomlah.wav	train	1	1	1	1	1	1	0	0	rrrss	a7
pegko_train	pegko	leeksoh	leeksoh.wav	train	1	1	1	1	1	1	0	0	rrrss	a7
keptu_train	keptu	seelpah	seelpah.wav	train	16	1	1	1	4	1	1	1	rrrss	a7
topgu_train	topgu	pohlkah	pohlkah.wav	train	4	1	1	1	1	4	1	1	rrrss	a7
butpi_train	butpi	mahploo	mahploo.wav	train	16	1	1	1	4	1	1	1	rrrss	a7
dotbi_train	dotbi	tohpmoo	tohpmoo.wav	train	4	1	1	1	1	4	1	1	rrrss	a7
bykka_train	bykka	maissei	maissei.wav	train	4	1	1	1	1	4	1	1	rrrss	a7
tydde_train	tydde	paittee	paittee.wav	train	16	1	1	1	4	1	1	1	rrrss	a7
gobbo_train	gobbo	kohmmoh	kohmmoh.wav	train	16	1	1	1	4	1	1	1	rrrss	a7
duppo_train	duppo	tahlloh	tahlloh.wav	train	4	1	1	1	1	4	1	1	rrrss	a7
pakte_train	pakte	leispee	leispee.wav	train	64	1	1	1	4	4	1	1	rrrss	a7
digdy_train	digdy	tooktai	tooktai.wav	train	64	1	1	1	4	4	1	1	rrrss	a7
pakgu_train	pakgu	leiskah	leiskah.wav	train	64	1	1	1	4	4	1	1	rrrss	a7
kepdy_train	kepdy	seeltai	seeltai.wav	train	64	1	1	1	4	4	1	1	rrrss	a7
pakpo_train	pakpo	leisloh	leisloh.wav	train	64	1	1	1	4	4	1	1	rrrss	a7
gobdy_train	gobdy	kohmtai	kohmtai.wav	train	64	1	1	1	4	4	1	1	rrrss	a7
digbi_train	digbi	tookmoo	tookmoo.wav	train	64	1	1	1	4	4	1	1	rrrss	a7
butte_train	butte	mahppee	mahppee.wav	train	64	1	1	1	4	4	1	1	rrrss	a7
digpo_train	digpo	tookloh	tookloh.wav	train	64	1	1	1	4	4	1	1	rrrss	a7
gobte_train	gobte	kohmpee	kohmpee.wav	train	64	1	1	1	4	4	1	1	rrrss	a7
kepbi_train	kepbi	seelmoo	seelmoo.wav	train	64	1	1	1	4	4	1	1	rrrss	a7
butgu_train	butgu	mahpkah	mahpkah.wav	train	64	1	1	1	4	4	1	1	rrrss	a7
kepka_train	kepka	seelsei	seelsei.wav	train	64	1	1	1	4	4	1	1	rrrss	a7
tydgu_train	tydgu	paitkah	paitkah.wav	train	64	1	1	1	4	4	1	1	rrrss	a7
butka_train	butka	mahpsei	mahpsei.wav	train	64	1	1	1	4	4	1	1	rrrss	a7
tydbi_train	tydbi	paitmoo	paitmoo.wav	train	64	1	1	1	4	4	1	1	rrrss	a7
gobka_train	gobka	kohmsei	kohmsei.wav	train	64	1	1	1	4	4	1	1	rrrss	a7
tydpo_train	tydpo	paitloh	paitloh.wav	train	64	1	1	1	4	4	1	1	rrrss	a7
pakdy_test	pakdy	leistai	leistai.wav	test	64	1	1	1	4	4	1	1	rrrss	a7
digga_test	digga	tookkei	tookkei.wav	test	16	1	1	1	4	1	1	1	rrrss	a7
gidte_test	gidte	kootpee	kootpee.wav	test	4	1	1	1	1	4	1	1	rrrss	a7
kudky_test	kudky	sahtsai	sahtsai.wav	test	1	1	1	1	1	1	0	0	rrrss	a7
kepgu_test	kepgu	seelkah	seelkah.wav	test	64	0	1	1	4	4	1	1	rrrss	a7
butde_test	butde	mahptee	mahptee.wav	test	16	0	1	1	4	1	1	1	rrrss	a7
bykbi_test	bykbi	maismoo	maismoo.wav	test	4	0	1	1	1	4	1	1	rrrss	a7
gobbe_test	gobbe	kohmmee	kohmmee.wav	test	16	0	1	1	4	1	1	0	rrrss	a7
batpo_test	batpo	meiploh	meiploh.wav	test	4	0	1	1	1	4	0	1	rrrss	a7
tydge_test	tydge	paitkee	paitkee.wav	test	16	0	1	0	4	0	1	0	rrrss	a7
degka_test	degka	teeksei	teeksei.wav	test	4	0	0	1	0	4	0	1	rrrss	a7
toptu_test	toptu	pohlpah	pohlpah.wav	test	1	0	1	1	1	1	1	1	rrrss	a7
dupti_test	dupti	tahlpoo	tahlpoo.wav	test	1	0	1	1	1	1	1	0	rrrss	a7
pybbo_test	pybbo	laimmoh	laimmoh.wav	test	1	0	1	1	1	1	0	1	rrrss	a7
kibko_test	kibko	soomsoh	soomsoh.wav	test	1	0	1	1	1	1	0	0	rrrss	a7
dotpy_test	dotpy	tohplai	tohplai.wav	test	1	0	1	0	1	0	1	0	rrrss	a7
pekpi_test	pekpi	leesloo	leesloo.wav	test	1	0	0	1	0	1	0	1	rrrss	a7
gekdu_test	gekdu	keestah	keestah.wav	test	1	0	1	0	1	0	0	0	rrrss	a7
tupda_test	tupda	pahltei	pahltei.wav	test	1	0	0	1	0	1	0	0	rrrss	a7
pobke_distractor	pobke	lohmsee	lohmsee.wav	distractor	64	0	0	0	0	0	0	0	rrrss	a7
gupty_distractor	gupty	kahlpai	kahlpai.wav	distractor	16	0	0	0	0	0	0	0	rrrss	a7
katpe_distractor	katpe	seiplee	seiplee.wav	distractor	4	0	0	0	0	0	0	0	rrrss	a7
kybge_distractor	kybge	saimkee	saimkee.wav	distractor	1	0	0	0	0	0	0	0	rrrss	a7
dydbu_distractor	dydbu	taitmah	taitmah.wav	distractor	64	0	0	0	0	0	0	0	rrrss	a7
pigpa_distractor	pigpa	looklei	looklei.wav	distractor	16	0	0	0	0	0	0	0	rrrss	a7
tekpy_distractor	tekpy	peeslai	peeslai.wav	distractor	4	0	0	0	0	0	0	0	rrrss	a7
depdi_distractor	depdi	teeltoo	teeltoo.wav	distractor	16	0	0	0	0	0	0	0	rrrss	a7
gupdu_distractor	gupdu	kahltah	kahltah.wav	distractor	4	0	0	0	0	0	0	0	rrrss	a7
bidgo_distractor	bidgo	mootkoh	mootkoh.wav	distractor	16	0	0	0	0	0	0	0	rrrss	a7
bakto_distractor	bakto	meispoh	meispoh.wav	distractor	4	0	0	0	0	0	0	0	rrrss	a7
tudki_distractor	tudki	pahtsoo	pahtsoo.wav	distractor	1	0	0	0	0	0	0	0	rrrss	a7
begku_distractor	begku	meeksah	meeksah.wav	distractor	1	0	0	0	0	0	0	0	rrrss	a7
kopta_distractor	kopta	sohlpei	sohlpei.wav	distractor	1	0	0	0	0	0	0	0	rrrss	a7
botdo_distractor	botdo	mohptoh	mohptoh.wav	distractor	1	0	0	0	0	0	0	0	rrrss	a7
