id	item_abstract	item_ortho	audio	item_type	bigram	is_training_word	is_training_root	is_training_residue	root_frequency	residue_frequency	root_extractability	residue_extractability	template	variation
pabdo_train	pabdo	seitloh	seitloh.wav	train	4	1	1	1	4	4	1	1	rsrsr	c3
dukti_train	dukti	laipkah	laipkah.wav	train	4	1	1	1	4	1	1	1	rsrsr	c3
gutbi_train	gutbi	maiktah	maiktah.wav	train	4	1	1	1	1	4	1	1	rsrsr	c3
detka_train	detka	leekpei	leekpei.wav	train	4	1	1	1	1	1	0	0	rsrsr	c3
buddu_train	buddu	taillai	taillai.wav	train	4	1	1	1	1	1	0	0	rsrsr	c3
topdy_train	topdy	kohsloo	kohsloo.wav	train	4	1	1	1	1	1	0	0	rsrsr	c3
kapto_train	kapto	peiskoh	peiskoh.wav	train	8	1	1	1	1	1	0	0	rsrsr	c3
pigpe_train	pigpe	sahmsee	sahmsee.wav	train	4	1	1	1	1	1	0	0	rsrsr	c3
gybgy_train	gybgy	mootmoo	mootmoo.wav	train	8	1	1	1	1	1	0	0	rsrsr	c3
dykba_train	dykba	looptei	looptei.wav	train	4	1	1	1	1	1	0	0	rsrsr	c3
botpa_train	botpa	tohksei	tohksei.wav	train	4	1	1	1	4	1	1	1	rsrsr	c3
bekpi_train	bekpi	teepsah	teepsah.wav	train	4	1	1	1	1	4	1	1	rsrsr	c3
kipky_train	kipky	pahspoo	pahspoo.wav	train	4	1	1	1	4	1	1	1	rsrsr	c3
tibgo_train	tibgo	kahtmoh	kahtmoh.wav	train	8	1	1	1	1	4	1	1	rsrsr	c3
pydtu_train	pydtu	soolkai	soolkai.wav	train	4	1	1	1	1	4	1	1	rsrsr	c3
gadbu_train	gadbu	meiltai	meiltai.wav	train	4	1	1	1	4	1	1	1	rsrsr	c3
tegge_train	tegge	keemmee	keemmee.wav	train	4	1	1	1	4	1	1	1	rsrsr	c3
kogke_train	kogke	pohmpee	pohmpee.wav	train	4	1	1	1	1	4	1	1	rsrsr	c3
pubbo_train	pubbo	saittoh	saittoh.wav	train	4	1	1	1	4	4	1	1	rsrsr	c3
dakdi_train	dakdi	leiplah	leiplah.wav	train	4	1	1	1	4	4	1	1	rsrsr	c3
pebpo_train	pebpo	seetsoh	seetsoh.wav	train	4	1	1	1	4	4	1	1	rsrsr	c3
batda_train	batda	teiklei	teiklei.wav	train	4	1	1	1	4	4	1	1	rsrsr	c3
pobko_train	pobko	sohtpoh	sohtpoh.wav	train	4	1	1	1	4	4	1	1	rsrsr	c3
tagde_train	tagde	keimlee	keimlee.wav	train	4	1	1	1	4	4	1	1	rsrsr	c3
dikgi_train	dikgi	lahpmah	lahpmah.wav	train	4	1	1	1	4	4	1	1	rsrsr	c3
kupby_train	kupby	paistoo	paistoo.wav	train	4	1	1	1	4	4	1	1	rsrsr	c3
dokki_train	dokki	lohppah	lohppah.wav	train	4	1	1	1	4	4	1	1	rsrsr	c3
tugbe_train	tugbe	kaimtee	kaimtee.wav	train	4	1	1	1	4	4	1	1	rsrsr	c3
bitga_train	bitga	tahkmei	tahkmei.wav	train	4	1	1	1	4	4	1	1	rsrsr	c3
keppy_train	keppy	peessoo	peessoo.wav	train	4	1	1	1	4	4	1	1	rsrsr	c3
bytta_train	bytta	tookkei	tookkei.wav	train	4	1	1	1	4	4	1	1	rsrsr	c3
gedpu_train	gedpu	meelsai	meelsai.wav	train	4	1	1	1	4	4	1	1	rsrsr	c3
kypty_train	kypty	pooskoo	pooskoo.wav	train	8	1	1	1	4	4	1	1	rsrsr	c3
gidgu_train	gidgu	mahlmai	mahlmai.wav	train	4	1	1	1	4	4	1	1	rsrsr	c3
tygte_train	tygte	koomkee	koomkee.wav	train	4	1	1	1	4	4	1	1	rsrsr	c3
godku_train	godku	mohlpai	mohlpai.wav	train	4	1	1	1	4	4	1	1	rsrsr	c3
pabdo_test	pabdo	seitloh	seitloh.wav	test	4	1	1	1	4	4	1	1	rsrsr	c3
dukti_test	dukti	laipkah	laipkah.wav	test	4	1	1	1	4	1	1	1	rsrsr	c3
gutbi_test	gutbi	maiktah	maiktah.wav	test	4	1	1	1	1	4	1	1	rsrsr	c3
detka_test	detka	leekpei	leekpei.wav	test	4	1	1	1	1	1	0	0	rsrsr	c3
betpa_test	betpa	teeksei	teeksei.wav	test	4	0	1	1	4	4	1	1	rsrsr	c3
kapby_test	kapby	peistoo	peistoo.wav	test	4	0	1	1	4	1	1	1	rsrsr	c3
pidgu_test	pidgu	sahlmai	sahlmai.wav	test	4	0	1	1	1	4	1	1	rsrsr	c3
togde_test	togde	kohmlee	kohmlee.wav	test	4	0	1	1	4	1	1	0	rsrsr	c3
bodku_test	bodku	tohlpai	tohlpai.wav	test	4	0	1	1	1	4	0	1	rsrsr	c3
gedtu_test	gedtu	meelkai	meelkai.wav	test	4	0	1	0	4	0	1	0	rsrsr	c3
pyttu_test	pyttu	sookkai	sookkai.wav	test	4	0	0	1	0	4	0	1	rsrsr	c3
bokpi_test	bokpi	tohpsah	tohpsah.wav	test	4	0	1	1	1	1	1	1	rsrsr	c3
kigpe_test	kigpe	pahmsee	pahmsee.wav	test	4	0	1	1	1	1	1	0	rsrsr	c3
kepgo_test	kepgo	peesmoh	peesmoh.wav	test	0	0	1	1	1	1	0	1	rsrsr	c3
gybby_test	gybby	moottoo	moottoo.wav	test	4	0	1	1	1	1	0	0	rsrsr	c3
tibdo_test	tibdo	kahtloh	kahtloh.wav	test	4	0	1	0	1	0	1	0	rsrsr	c3
dibky_test	dibky	lahtpoo	lahtpoo.wav	test	4	0	0	1	0	1	0	1	rsrsr	c3
tupky_test	tupky	kaispoo	kaispoo.wav	test	4	0	1	0	1	0	0	0	rsrsr	c3
kugda_test	kugda	paimlei	paimlei.wav	test	4	0	0	1	0	1	0	0	rsrsr	c3
gappu_distractor	gappu	meissai	meissai.wav	distractor	4	0	0	0	0	0	0	0	rsrsr	c3
buggo_distractor	buggo	taimmoh	taimmoh.wav	distractor	4	0	0	0	0	0	0	0	rsrsr	c3
tipbi_distractor	tipbi	kahstah	kahstah.wav	distractor	4	0	0	0	0	0	0	0	rsrsr	c3
kebde_distractor	kebde	peetlee	peetlee.wav	distractor	4	0	0	0	0	0	0	0	rsrsr	c3
tudpu_distractor	tudpu	kailsai	kailsai.wav	distractor	4	0	0	0	0	0	0	0	rsrsr	c3
gotga_distractor	gotga	mohkmei	mohkmei.wav	distractor	4	0	0	0	0	0	0	0	rsrsr	c3
pobby_distractor	pobby	sohttoo	sohttoo.wav	distractor	4	0	0	0	0	0	0	0	rsrsr	c3
datko_distractor	datko	leikpoh	leikpoh.wav	distractor	4	0	0	0	0	0	0	0	rsrsr	c3
depbu_distractor	depbu	leestai	leestai.wav	distractor	4	0	0	0	0	0	0	0	rsrsr	c3
pydpe_distractor	pydpe	soolsee	soolsee.wav	distractor	4	0	0	0	0	0	0	0	rsrsr	c3
bypdi_distractor	bypdi	tooslah	tooslah.wav	distractor	4	0	0	0	0	0	0	0	rsrsr	c3
tikbu_distractor	tikbu	kahptai	kahptai.wav	distractor	4	0	0	0	0	0	0	0	rsrsr	c3
gydky_distractor	gydky	moolpoo	moolpoo.wav	distractor	4	0	0	0	0	0	0	0	rsrsr	c3
gibta_distractor	gibta	mahtkei	mahtkei.wav	distractor	0	0	0	0	0	0	0	0	rsrsr	c3
badge_distractor	badge	teilmee	teilmee.wav	distractor	4	0	0	0	0	0	0	0	rsrsr	c3
kaggu_distractor	kaggu	peimmai	peimmai.wav	distractor	4	0	0	0	0	0	0	0	rsrsr	c3
pykdo_distractor	pykdo	sooploh	sooploh.wav	distractor	4	0	0	0	0	0	0	0	rsrsr	c3
dekbu_distractor	dekbu	leeptai	leeptai.wav	distractor	4	0	0	0	0	0	0	0	rsrsr	c3
